=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-11-23_19-29-7
====================================================================================
19:29:7 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
19:29:7 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
19:29:7 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
19:29:7 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
19:29:7 | [PermissionManager] Perm (TerjePlayerManager) has been registered!
19:29:7 | [PermissionManager] Adding Super Admin (76561198378002588)
19:29:7 | [PermissionManager] Adding Super Admin (76561198074746423)
19:29:7 | [PermissionManager] Adding Super Admin (76561199830923778)
19:29:7 | [PermissionManager] Loaded UserGroups.json
19:29:7 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
19:29:7 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
19:29:7 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
19:29:7 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
19:29:7 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
19:29:7 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
19:29:7 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
19:29:7 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
19:29:7 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
19:29:7 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
19:29:7 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
19:29:7 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
19:29:7 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
19:29:7 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
19:29:7 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
19:29:7 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
19:29:7 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
19:29:7 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
19:29:7 | Building Sets Loaded: 0
19:29:7 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
19:40:25 | Player "Skullcruncher32" (steamId=76561198378002588) connected to server!
19:41:29 | "Skullcruncher32" (steamid=76561198378002588) toggled godmode
19:41:37 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3532.969238, 37.379993, 2320.121094>)
19:41:37 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3541.020996, 37.379997, 2341.350342>)
19:41:39 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3536.382324, 38.226910, 2345.288818>)
19:42:22 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3478.887695, 37.380001, 2364.211914>)
19:42:22 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3481.915771, 37.380001, 2378.541016>)
19:42:23 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3481.972412, 37.385731, 2387.908447>)
19:42:23 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3480.830566, 37.385731, 2396.637451>)
19:42:24 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3479.953369, 37.385727, 2402.791016>)
19:44:26 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3507.966797, 37.379997, 2404.673340>)
19:44:27 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3495.676025, 37.380001, 2405.442383>)
19:44:27 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3489.020508, 37.379986, 2400.068115>)
19:44:28 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3484.802002, 37.380001, 2385.089844>)
19:44:28 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3480.606934, 37.380005, 2370.086670>)
19:44:28 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3475.429932, 37.380005, 2352.843262>)
19:44:29 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3469.333984, 37.380001, 2333.060059>)
19:44:29 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3463.237549, 37.379997, 2313.271973>)
19:44:30 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3455.633545, 85.188026, 2227.296143>)
19:44:32 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3409.691650, 56.942741, 2258.429443>)
19:44:40 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3540.257324, 77.678314, 2253.327148>)
19:44:42 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3548.228760, 43.646950, 2283.635010>)
19:44:49 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3258.883301, 80.046242, 2320.964355>)
19:44:51 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3263.625488, 44.111557, 2279.478516>)
19:44:52 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3270.964600, 32.256550, 2252.843018>)
19:44:58 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3273.943359, 70.860153, 2150.131592>)
19:45:1 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3252.184326, 33.847031, 2137.242432>)
19:45:3 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3254.015869, 31.568016, 2140.104004>)
19:45:18 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3215.535889, 31.560001, 2123.089355>)
19:45:19 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3207.180908, 31.560005, 2095.871826>)
19:45:19 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3199.212891, 31.559999, 2069.671631>)
19:45:20 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3198.055176, 31.560001, 2063.541016>)
19:46:57 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3252.608154, 31.559998, 2045.078491>)
19:46:58 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3273.246338, 31.559998, 2040.334839>)
19:46:58 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3293.661621, 31.560005, 2035.102783>)
19:46:58 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3313.973633, 31.559998, 2029.688843>)
19:46:58 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3332.971680, 31.559999, 2023.689087>)
19:46:58 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3351.824951, 31.559998, 2017.738403>)
19:46:59 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3371.016602, 31.559998, 2011.680298>)
19:46:59 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3383.674072, 31.559996, 2007.331177>)
19:47:0 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<3386.674805, 31.559999, 2006.648315>)
19:48:47 | "Skullcruncher32" (steamid=76561198378002588) toggled godmode
19:50:0 | "Skullcruncher32" (steamid=76561198378002588) toggled godmode
19:50:1 | "Skullcruncher32" (steamid=76561198378002588) toggled godmode
19:50:5 | "Skullcruncher32" (steamid=76561198378002588) toggled godmode
19:50:41 | Player "Skullcruncher32" (steamId=76561198378002588) initiated disconnect process...
19:50:44 | Player "Skullcruncher32" (steamId=76561198378002588) aborted logout process [canceledLogout]
19:50:46 | Player "Skullcruncher32" (steamId=76561198378002588) initiated disconnect process...
19:51:1 | Player "Skullcruncher32" (steamId=76561198378002588) disconnected from server.
19:53:49 | Player "SinVIIWrath" (steamId=76561198074746423) connected to server!
19:54:57 | "SinVIIWrath" (steamid=76561198074746423) toggled godmode
19:55:1 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<9758.974609, -2.794573, 1854.359497>)
19:55:1 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<9759.217773, -1.405811, 1855.269165>)
19:55:1 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<9759.441406, -0.213670, 1856.112915>)
19:55:1 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<9759.675781, 0.787577, 1857.017334>)
19:55:2 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<9785.678711, 1097.046265, 1955.925293>)
19:55:2 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<9811.649414, 2193.580322, 2054.651367>)
19:55:5 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<8756.156250, 1905.971436, 1831.144653>)
19:55:6 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<7699.953125, 1663.033569, 1604.182007>)
19:55:7 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<6643.625977, 1434.592529, 1376.698975>)
19:55:7 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<5585.264648, 1228.592285, 1151.019531>)
19:55:7 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<4526.857422, 1024.102661, 925.352234>)
19:55:8 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<3465.104736, 815.205933, 709.513306>)
19:55:8 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<3465.147705, 805.162476, 709.683350>)
19:55:8 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<3465.156982, 795.378784, 709.913086>)
19:55:8 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<3465.183350, 784.244751, 710.177124>)
19:55:8 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<3465.232666, 773.241638, 710.372925>)
19:55:8 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<3465.288330, 762.592407, 710.486816>)
19:55:9 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<3465.338623, 750.648193, 710.660706>)
19:55:9 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<3465.354736, 739.709229, 710.877136>)
19:55:9 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<3465.378174, 727.653748, 711.131042>)
19:55:9 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<3465.431885, 714.903931, 711.319824>)
19:55:9 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<3464.198730, 708.124756, 712.635437>)
19:55:9 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<3457.128418, 732.092773, 720.422546>)
19:55:10 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<3458.604980, 716.103760, 714.310913>)
19:55:10 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<3460.036621, 701.269897, 708.478577>)
19:55:10 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<3460.399414, 686.992310, 708.660400>)
19:55:10 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<3461.620117, 657.927795, 711.724365>)
19:55:10 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<3462.184570, 638.863281, 712.021240>)
19:55:10 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<2396.833496, 391.382965, 496.269836>)
19:55:11 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<1331.212524, 213.037933, 279.620850>)
19:55:11 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<1331.266479, 199.260605, 279.747620>)
19:55:11 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<1331.333862, 180.733795, 279.918396>)
19:55:11 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<1330.582153, 168.886032, 279.980804>)
19:55:11 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<1304.029663, 117.213547, 277.593567>)
19:55:12 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<1302.937256, 117.148605, 277.413879>)
19:55:21 | "SinVIIWrath" (steamid=76561198074746423) toggled godmode
19:55:23 | "SinVIIWrath" (steamid=76561198074746423) toggled godmode
19:55:36 | "SinVIIWrath" (steamid=76561198074746423) healed player (steamid=76561198074746423)
19:55:37 | "SinVIIWrath" (steamid=76561198074746423) just updated a health stat on (steamid=76561198074746423)
19:55:37 | "SinVIIWrath" (steamid=76561198074746423) just updated a health stat on (steamid=76561198074746423)
19:55:37 | "SinVIIWrath" (steamid=76561198074746423) just updated a health stat on (steamid=76561198074746423)
19:55:38 | "SinVIIWrath" (steamid=76561198074746423) just updated a health stat on (steamid=76561198074746423)
19:55:38 | "SinVIIWrath" (steamid=76561198074746423) just updated a health stat on (steamid=76561198074746423)
19:57:10 | "76561198074746423" (steamid=76561198074746423) teleported to (pos=<44.597000, 102.496872, 52.686798>)
19:57:10 | "SinVIIWrath": (steamid=76561198074746423) teleported to (pos=44.597,0,52.6868)
19:59:0 | Player "Skullcruncher32" (steamId=76561198378002588) connected to server!
19:59:16 | "76561198074746423" (steamid=76561198074746423) teleported to (pos=<12138.099609, 22.036549, 9631.639648>)
19:59:16 | "SinVIIWrath": (steamid=76561198074746423) teleported to (pos=12138.1,0,9631.64)
19:59:17 | "Skullcruncher32" (steamid=76561198378002588) toggled godmode
19:59:22 | "76561198378002588" (steamid=76561198378002588) teleported to (pos=<1735.829956, 106.056908, 11885.200195>)
19:59:22 | "Skullcruncher32": (steamid=76561198378002588) teleported to (pos=1735.83,0,11885.2)
19:59:48 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<1813.274414, 106.050140, 11804.199219>)
19:59:48 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<1835.939331, 106.050148, 11781.036133>)
19:59:48 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<1858.601074, 106.050156, 11757.875977>)
19:59:49 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<1881.260254, 106.050140, 11734.716797>)
19:59:49 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<1903.917603, 106.050140, 11711.558594>)
19:59:49 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<1926.575439, 106.050140, 11688.400391>)
19:59:50 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<1928.055908, 107.592430, 11686.866211>)
19:59:50 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<1927.529907, 106.050140, 11670.589844>)
19:59:51 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<1926.869141, 106.050156, 11662.308594>)
19:59:51 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<1926.606079, 106.050148, 11657.526367>)
19:59:51 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<1926.298828, 106.050140, 11651.749023>)
19:59:51 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<1926.358276, 106.050148, 11643.874023>)
19:59:51 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<1928.556274, 106.046135, 11638.795898>)
19:59:52 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<1931.089478, 105.985954, 11629.510742>)
19:59:52 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2064.682617, 19.101650, 11156.375000>)
19:59:53 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2065.458008, 20.492817, 11155.013672>)
19:59:53 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2065.913330, 20.555183, 11154.763672>)
19:59:54 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2085.946777, 21.075264, 11130.061523>)
19:59:55 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2102.176758, 21.068935, 11108.284180>)
19:59:55 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2102.604736, 20.864025, 11106.525391>)
19:59:55 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2115.497314, 22.409050, 11096.451172>)
19:59:56 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2115.820313, 17.214466, 11092.825195>)
19:59:56 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2116.189697, 14.601269, 11090.816406>)
19:59:56 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2115.559326, 11.708704, 11089.845703>)
19:59:56 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2121.316162, 13.323524, 11086.166016>)
19:59:57 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2121.162598, 12.898703, 11086.236328>)
19:59:57 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2122.510010, 12.079254, 11085.139648>)
19:59:57 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2122.529297, 11.833545, 11085.013672>)
19:59:57 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2122.678711, 12.866534, 11084.957031>)
19:59:58 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2122.560547, 13.961861, 11084.905273>)
19:59:58 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2121.481689, 15.100597, 11084.664063>)
19:59:58 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2125.304932, 17.476524, 11078.222656>)
19:59:58 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2135.090332, 20.855669, 11064.825195>)
19:59:59 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2136.393066, 20.762669, 11061.539063>)
19:59:59 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2135.785400, 19.664171, 11061.216797>)
19:59:59 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2135.996338, 20.831512, 11061.040039>)
20:0:0 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2136.314697, 20.372650, 11060.737305>)
20:0:0 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2136.585938, 19.947309, 11060.484375>)
20:0:0 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2137.039307, 16.218536, 11059.988281>)
20:0:1 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2144.881592, 15.369168, 11050.352539>)
20:0:1 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2145.969727, 14.605530, 11048.710938>)
20:0:1 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2146.701660, 13.730134, 11047.257813>)
20:0:1 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2146.901367, 10.823903, 11046.896484>)
20:0:2 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2147.339600, 6.664781, 11045.619141>)
20:0:2 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2147.454590, 4.607803, 11043.102539>)
20:0:4 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2147.315186, 4.631599, 11042.459961>)
20:0:7 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2105.264404, 67.029083, 10987.205078>)
20:0:9 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<2119.672363, 45.400768, 10991.791992>)
20:1:16 | "76561198074746423" (steamid=76561198074746423) teleported to (pos=<1865.099976, 2.960000, 2541.550049>)
20:1:16 | "SinVIIWrath": (steamid=76561198074746423) teleported to (pos=1865.1,0,2541.55)
20:1:31 | "76561198378002588" (steamid=76561198378002588) teleported to (pos=<1850.550049, 2.960000, 2519.989990>)
20:1:31 | "Skullcruncher32": (steamid=76561198378002588) teleported to (pos=1850.55,0,2519.99)
20:2:0 | "SinVIIWrath" (steamid=76561198074746423) teleported to crosshair (pos=<1756.338379, 35.335438, 2512.240723>)
20:2:1 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<1703.784790, 33.932312, 2589.745361>)
20:2:3 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<1703.667603, 34.602974, 2589.353760>)
20:2:7 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<1695.583496, 43.561123, 2590.176758>)
20:2:8 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<1691.756714, 48.700516, 2590.660156>)
20:2:8 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<1688.853516, 52.599648, 2591.026367>)
20:2:15 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<1775.348389, 35.362209, 2577.727783>)
20:3:7 | [WeatherManager] Send Data Count is 1
20:3:13 | [TimeManager] Applying preset 8/10/2025 10:58
20:3:16 | [Weather Manager] ApplyWeatherSetting to: clear
20:4:16 | "76561198378002588" (steamid=76561198378002588) teleported to (pos=<210.108002, 7.359572, 8307.459961>)
20:4:16 | "Skullcruncher32": (steamid=76561198378002588) teleported to (pos=210.108,0,8307.46)
20:4:28 | "76561198378002588" (steamid=76561198378002588) teleported to (pos=<3194.989990, 9.888790, 4930.169922>)
20:4:28 | "Skullcruncher32": (steamid=76561198378002588) teleported to (pos=3194.99,0,4930.17)
